Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
John Henson,C,28,MIL,14,0,13.4,2.2,4.8,0.8,2.2,.355,1.4,2.6,.556,0.4,0.7,.600,1.1,3.9,5.1,1.0,0.5,0.8,0.9,1.1,5.6
Willy Hernangómez,C,24,CHO,58,3,14.0,2.6,5.1,0.3,0.7,.385,2.4,4.4,.539,1.7,2.5,.694,2.0,3.3,5.4,1.0,0.3,0.3,1.0,1.7,7.3
Mario Hezonja,SF,23,NYK,58,24,20.8,3.3,8.0,0.7,2.6,.276,2.6,5.4,.478,1.5,2.0,.763,0.5,3.6,4.1,1.5,1.0,0.1,1.5,1.9,8.8
Buddy Hield,SG,26,SAC,82,82,31.9,7.6,16.6,3.4,7.9,.427,4.2,8.6,.487,2.1,2.4,.886,1.3,3.7,5.0,2.5,0.7,0.4,1.8,2.5,20.7
Haywood Highsmith,SF,22,PHI,5,0,8.0,0.8,2.0,0.2,1.0,.200,0.6,1.0,.600,0.0,0.4,.000,0.0,1.0,1.0,0.4,0.2,0.0,0.2,0.2,1.8
Nenê,C,36,HOU,42,2,13.0,1.4,2.8,0.0,0.1,.000,1.4,2.7,.531,0.7,1.1,.660,0.8,2.1,2.9,0.6,0.4,0.4,0.3,2.1,3.6
George Hill,PG,32,TOT,60,13,21.7,2.8,6.3,0.8,2.6,.314,2.0,3.7,.547,1.2,1.4,.824,0.7,1.8,2.5,2.3,0.9,0.1,0.9,1.7,7.6
George Hill,PG,32,CLE,13,13,26.5,4.2,8.2,1.0,2.2,.464,3.2,6.1,.532,1.3,1.5,.850,0.9,1.2,2.1,2.8,0.9,0.1,1.5,2.7,10.8
George Hill,PG,32,MIL,47,0,20.4,2.4,5.7,0.7,2.7,.280,1.7,3.1,.556,1.1,1.4,.815,0.6,2.0,2.6,2.1,0.9,0.1,0.7,1.4,6.8
Solomon Hill,SF,27,NOP,44,15,20.0,1.5,4.0,0.7,2.3,.317,0.8,1.8,.468,0.5,0.7,.719,0.8,2.3,3.0,1.3,0.5,0.2,0.7,1.8,4.3
Aaron Holiday,PG,22,IND,50,0,12.9,2.1,5.2,0.9,2.5,.339,1.2,2.7,.459,0.8,1.0,.820,0.1,1.2,1.3,1.7,0.4,0.3,0.8,1.4,5.9
Jrue Holiday,SG,28,NOP,67,67,35.9,8.2,17.3,1.8,5.4,.325,6.4,11.9,.539,3.1,4.0,.768,1.1,3.9,5.0,7.7,1.6,0.8,3.1,2.2,21.2
Justin Holiday,SG,29,TOT,82,77,31.8,3.7,9.5,2.0,5.7,.348,1.7,3.8,.442,1.2,1.3,.896,0.6,3.4,3.9,1.8,1.5,0.4,1.3,2.0,10.5
